ID,Name,Sex,AGE_15_20,AGE_20_25,AGE_25_30,AGE_30_35,AGE_35_40,AGE_40_and_above,Height_Below_200,Height_Above_200,Weight_50_75,Weight_75_100,Weight_above_100,Medal
232,Suzy Batkovic (-Brown),0,0,0,0,1,0,0,1,0,0,1,0,1
233,Nicolas Batum,1,0,1,0,0,0,0,0,1,0,0,1,0
234,Nicolas Batum,1,0,0,1,0,0,0,0,1,0,0,1,0
235,"Eric William ""Billy"" Baum",1,0,1,0,0,0,0,1,0,0,1,0,0
236,Ji Baumruk,1,0,1,0,0,0,0,1,0,0,1,0,0
237,Ji Baumruk,1,0,0,1,0,0,0,1,0,0,1,0,0
238,"Orlando ""Orly"" Bauzon",1,0,1,0,0,0,0,1,0,0,1,0,0
239,Aron John Baynes,1,0,1,0,0,0,0,0,1,0,0,1,0
240,Aron John Baynes,1,0,0,1,0,0,0,0,1,0,0,1,0
241,Sergey Valeryanovich Bazarevich,1,0,0,1,0,0,0,1,0,0,1,0,0
242,Sergey Valeryanovich Bazarevich,1,0,0,0,1,0,0,1,0,0,1,0,0
243,"Ralph Milton Beard, Jr.",1,1,0,0,0,0,0,1,0,0,1,0,3
244,Mersada Beirspahi,0,0,1,0,0,0,0,1,0,1,0,0,1
245,"Lewis William ""Lew"" Beck, Jr.",1,0,0,1,0,0,0,1,0,1,0,0,3
246,Brbara Bcquer Rivero,0,0,1,0,0,0,0,1,0,0,1,0,0
247,Gunther Behnke,1,0,0,1,0,0,0,0,1,0,0,1,0
248,Clmence Beikes,0,0,0,1,0,0,0,1,0,1,0,0,2
249,Jos Manuel Beirn Lozano,1,0,1,0,0,0,0,1,0,0,1,0,2
250,Khaled Mohammed Bekhit,1,0,1,0,0,0,0,1,0,1,0,0,0
251,Allal Bel Caid,1,0,0,1,0,0,0,1,0,0,1,0,0
252,Abdel Jabbar Bel Gnaoui,1,0,0,1,0,0,0,1,0,1,0,0,0
253,Richard Felici Bella,1,0,1,0,0,0,0,0,1,0,0,1,0
254,"Walter Jones ""Walt"" Bellamy, Jr.",1,0,1,0,0,0,0,0,1,0,1,0,3
255,Aleksandr Aleksandrovich Belov,1,1,0,0,0,0,0,1,0,0,1,0,3
256,Aleksandr Aleksandrovich Belov,1,0,1,0,0,0,0,1,0,0,1,0,1
257,Sergey Aleksandrovich Belov,1,0,1,0,0,0,0,1,0,0,1,0,1
258,Sergey Aleksandrovich Belov,1,0,0,1,0,0,0,1,0,0,1,0,3
259,Sergey Aleksandrovich Belov,1,0,0,0,1,0,0,1,0,0,1,0,1
260,Sergey Aleksandrovich Belov,1,0,0,0,0,1,0,1,0,0,1,0,1
261,Yevgeniya Aleksandrovna Belyakova,0,0,0,1,0,0,0,1,0,1,0,0,0
262,Makram Ben Romdhane,1,0,1,0,0,0,0,0,1,0,0,1,0
263,Oscar Benalczar,1,0,1,0,0,0,0,1,0,0,1,0,0
264,Jnos Bencze,1,0,1,0,0,0,0,1,0,0,0,1,0
265,Jnos Bencze,1,0,0,1,0,0,0,1,0,0,0,1,0
266,"Thomas Erwin ""Tom"" Bender",1,0,0,1,0,0,0,0,1,0,0,1,0
267,Vtor Alves Benite,1,0,0,1,0,0,0,1,0,0,1,0,0
268,Viktor Viktorovych Berezhniy,1,0,0,0,1,0,0,0,1,0,0,1,0
269,Miroslav Beri,1,0,1,0,0,0,0,1,0,0,1,0,2
270,Eva Berkov,0,0,1,0,0,0,0,1,0,0,1,0,0
271,Eva Berkov,0,0,0,1,0,0,0,1,0,0,1,0,0
272,"Narciso C. ""Ciso"" Bernardo",1,0,1,0,0,0,0,1,0,1,0,0,0
273,"Narciso C. ""Ciso"" Bernardo",1,0,0,0,1,0,0,1,0,1,0,0,0
274,"Gianfranco ""Franco"" Bertini",1,0,0,1,0,0,0,1,0,1,0,0,0
275,"Giovanni ""Gianni"" Bertolotti",1,0,0,1,0,0,0,1,0,0,1,0,0
276,Agustn Bertomeu Lpez,1,0,1,0,0,0,0,1,0,1,0,0,0
277,Andr Louis Bertorelle,1,0,0,1,0,0,0,1,0,0,1,0,0
278,Vida Beselien (ulskyt-),0,0,1,0,0,0,0,1,0,0,1,0,3
279,Jean-Paul Beugnot,1,0,1,0,0,0,0,0,1,0,0,1,0
280,Jean-Paul Beugnot,1,0,1,0,0,0,0,0,1,0,0,1,0
281,Jean-Paul Beugnot,1,0,0,1,0,0,0,0,1,0,0,1,0
282,Tully Louise Bevilaqua (Crook-),0,0,0,0,0,1,0,1,0,1,0,0,2
283,Bian Lan,0,1,0,0,0,0,0,1,0,1,0,0,0
284,Bian Lan,0,0,1,0,0,0,0,1,0,1,0,0,0
285,Ryszard Biaows,1,0,1,0,0,0,0,1,0,0,1,0,0
286,Iveta Bielikov,0,0,1,0,0,0,0,1,0,1,0,0,0
287,Oleksandr Mykhailovych Bielostienniy,1,0,1,0,0,0,0,0,1,0,0,1,1
288,Oleksandr Mykhailovych Bielostienniy,1,0,0,1,0,0,0,0,1,0,0,1,3
289,Oleksandr Mykhailovych Bielostienniy,1,0,0,0,1,0,0,0,1,0,0,1,0
290,Miro Bilan,1,0,0,1,0,0,0,0,1,0,0,1,0
291,Jim Bilba,1,0,0,0,1,0,0,1,0,0,1,0,2
292,Jerzy Janusz Bikowski,1,0,1,0,0,0,0,0,1,0,1,0,0
293,"Ubiratan ""Bira"" Pereira Maciel",1,1,0,0,0,0,0,1,0,0,1,0,1
294,"Ubiratan ""Bira"" Pereira Maciel",1,0,1,0,0,0,0,1,0,0,1,0,0
295,"Ubiratan ""Bira"" Pereira Maciel",1,0,0,1,0,0,0,1,0,0,1,0,0
296,Stefan Birevi,1,0,0,1,0,0,0,0,1,0,0,1,2
297,Larry Joe Bird,1,0,0,0,1,0,0,0,1,0,1,0,3
298,"Suzanne Brigit ""Sue"" Bird",0,0,1,0,0,0,0,1,0,1,0,0,3
